track,i,ax,ay,az,speed,t,vx,vy,vz,x,y,z
track2,55,3.5251038,-11.79892135,-3.97901701,4.17710794,0.90000003,1.07546198,-1.59104779,-3.70947156,0.72032044,2.75635749,1.28835404
track2,56,3.85532419,-12.59202666,-3.17642845,4.32411807,0.91666663,1.13971752,-1.80091532,-3.76241214,0.7387803,2.72809107,1.22608821
track2,57,4.18873703,-13.3828631,-2.28355362,4.47246845,0.93333333,1.20952994,-2.02396349,-3.80047144,0.75835741,2.69621702,1.16306406
track2,58,4.52084038,-14.16611201,-1.32270223,4.62281733,0.95000003,1.28487743,-2.26006582,-3.82251652,0.77914418,2.6605167,1.09953903
track2,59,4.84796874,-14.93628254,-0.3187238,4.7762379,0.96666663,1.36567707,-2.50900436,-3.82782859,0.80123217,2.62077437,1.03578603
track2,60,5.16772197,-15.68765721,0.69793246,4.93422498,0.98333333,1.45180594,-2.77046584,-3.81619636,0.82471125,2.5767787,0.97208569
track2,61,5.47905158,-16.4140717,1.69150937,5.09866189,1.00000033,1.54312365,-3.04403425,-3.78800448,0.84966904,2.52832443,0.90871723
track2,62,5.78293181,-17.10913448,2.62596895,5.27169675,1.01666633,1.63950604,-3.32918706,-3.74423825,0.87619101,2.47521415,0.84594841
track2,63,6.08078332,-17.76735219,3.46367623,5.45562089,1.03333333,1.74085263,-3.62531019,-3.6865102,0.90436072,2.41725989,0.78402538
track2,64,6.37197415,-18.38330644,4.17230533,5.65264057,1.05000033,1.84705241,-3.93169924,-3.61697163,0.93425999,2.35428468,0.72316291
track2,65,6.65418977,-18.95122194,4.73582525,5.86455768,1.06666633,1.9579558,-4.24755357,-3.53804106,0.96596846,2.28612411,0.66353769
track2,66,6.9251112,-19.46658415,5.15893262,6.09251593,1.08333333,2.07337455,-4.57199729,-3.45205867,0.99956294,2.2126277,0.60528674
track2,67,7.18267617,-19.92734089,5.45835057,6.3369489,1.10000033,2.19308606,-4.9041203,-3.36108598,1.03511685,2.1336599,0.54851042
track2,68,7.42486781,-20.33497943,5.65452272,6.59768357,1.11666633,2.3168341,-5.24303731,-3.26684375,1.07269959,2.04910008,0.49327756
track2,69,7.64960735,-20.69498242,5.76857577,6.87410467,1.13333333,2.44432781,-5.58795437,-3.17070063,1.11237602,1.95884164,0.43963125
track2,70,7.85508617,-21.01602516,5.82532651,7.1652958,1.15000033,2.57524618,-5.93822216,-3.07361166,1.15420589,1.86278998,0.38759521
track2,71,8.03823173,-21.30324889,5.852303,7.47008723,1.16666633,2.70921697,-6.29327701,-2.97607308,1.19824317,1.76086061,0.33718107
track2,72,8.19387252,-21.5536059,5.87336392,7.7870553,1.18333333,2.84578179,-6.6525045,-2.87818348,1.24453492,1.65297888,0.2883955
track2,73,8.31731255,-21.76017696,5.90148252,8.11460247,1.20000033,2.98440394,-7.01517484,-2.77982525,1.2931199,1.53908133,0.24124534
track2,74,8.40662902,-21.91713799,5.93789251,8.45108342,1.21666633,3.12451471,-7.3804612,-2.68086017,1.34402766,1.41911745,0.19573953
track2,75,8.46350915,-22.02273465,5.9776005,8.79491945,1.23333333,3.26557347,-7.74750751,-2.5812333,1.3972785,1.2930508,0.15188867
track3,1,5.07952356,-8.55928397,-6.53551019,6.17928977,0,-1.55652924,4.45163564,3.99296617,0.321649,0.93972537,0.98180791
track3,2,4.80253454,-8.1458895,-6.79262364,5.98825977,0.01666667,-1.47648684,4.31587055,3.87975555,0.29637381,1.01278806,1.04741406
track3,3,4.72470081,-8.07301909,-7.02781221,5.79607334,0.03333337,-1.39774167,4.18131996,3.76262512,0.27242186,1.08359813,1.11110069
track3,4,4.80891912,-8.28715012,-7.2499594,5.59876521,0.04999997,-1.31759285,4.04320051,3.64179222,0.24979403,1.15213593,1.17280429
track3,5,5.01432484,-8.71468641,-7.45933462,5.39346427,0.06666667,-1.23402061,3.89795545,3.51746973,0.22853054,1.21831237,1.23246493
track3,6,5.29999899,-9.27746729,-7.65387868,5.17847258,0.08333337,-1.14568711,3.74333069,3.38990483,0.2086996,1.28198988,1.2900265
track3,7,5.62430729,-9.90094188,-7.83704604,4.95316908,0.09999997,-1.05194847,3.57831466,3.25928713,0.19038594,1.34300371,1.34543654
track3,8,5.94506013,-10.51787203,-8.01720035,4.71786645,0.11666667,-0.95286394,3.40301644,3.12566686,0.17367913,1.40118159,1.3986446
track3,9,6.21980102,-11.07010318,-8.2044113,4.47366258,0.13333337,-0.84920038,3.21851435,2.9889264,0.1586619,1.45636112,1.44959964
track3,10,6.40857675,-11.51201332,-8.4114708,4.22220641,0.14999997,-0.74239055,3.02664708,2.84873494,0.14539862,1.50840424,1.49824692
track3,11,6.48081803,-11.81399145,-8.65203321,3.96540106,0.16666667,-0.6343767,2.82974683,2.70453409,0.13392553,1.55720762,1.54452425
track3,12,6.42025986,-11.95999716,-8.93299175,3.70520508,0.18333337,-0.52737216,2.63041314,2.5556506,0.12424427,1.60270904,1.58835921
track3,13,6.22512216,-11.94510265,-9.25082379,3.44352521,0.19999997,-0.42361991,2.4313277,2.40146989,0.11631932,1.6448903,1.62966863
track3,14,5.90370771,-11.77511047,-9.5912884,3.18216438,0.21666667,-0.32522459,2.23507547,2.24161477,0.11007894,1.68377707,1.66836108
track3,15,5.47087533,-11.46518419,-9.93509967,2.92276653,0.23333337,-0.23404315,2.04398868,2.07602944,0.10541837,1.71943601,1.70434152
track3,16,4.94686509,-11.03643588,-10.26540909,2.66674915,0.24999997,-0.15159524,1.86004772,1.90493895,0.10220471,1.75196971,1.73751632
track3,17,4.35428521,-10.51360449,-10.57002126,2.41526736,0.26666667,-0.07902367,1.68482062,1.72877158,0.10028288,1.78151034,1.76779731
track3,18,3.71445707,-9.92200374,-10.84517992,2.16919167,0.28333337,-0.01711593,1.51945356,1.54801822,0.09948171,1.80821268,1.79510394
track3,19,3.04627089,-9.28649272,-11.09572012,1.92911686,0.29999997,0.03365535,1.36467838,1.36308918,0.09961954,1.83224716,1.81936322
track3,20,2.36677007,-8.62978392,-11.32668456,1.69552948,0.31666667,0.0731016,1.22084836,1.17431072,0.10050919,1.85379326,1.84050826
track3,21,1.69225271,-7.96790019,-11.5383965,1.46916523,0.33333337,0.10130587,1.08804975,0.98200373,0.10196258,1.87303411,1.85847758
track3,22,1.03874569,-7.31018527,-11.72537045,1.25153782,0.34999997,0.11861833,0.96621309,0.7865805,0.10379529,1.890153,1.87321582
track3,23,0.42299934,-6.66283468,-11.87827443,1.04573475,0.36666667,0.12566834,0.85516562,0.58860886,0.10583102,1.90533119,1.88467575
